,name,TotalProperties,HAProperties,OtherProperties,HA Percent,Other Percent
0,G1,5552,548,5004,9.870317002881844,90.12968299711815
1,G11,15586,2798,12788,17.952008212498395,82.0479917875016
2,G12,12439,413,12026,3.320202588632527,96.67979741136747
3,G13,16370,4995,11375,30.513133781307268,69.48686621869274
4,G14,9406,4023,5383,42.77057197533489,57.22942802466511
5,G15,7840,4899,2941,62.48724489795918,37.51275510204082
6,G2,2379,356,2023,14.964270701975622,85.03572929802438
7,G20,17916,8113,9803,45.283545434248715,54.716454565751285
8,G21,13244,7711,5533,58.22259136212624,41.777408637873755
9,G22,9222,5913,3309,64.11841249186728,35.881587508132725
10,G23,3490,1329,2161,38.080229226361034,61.91977077363897
11,G3,12583,2457,10126,19.52634506874354,80.47365493125646
12,G31,14494,6342,8152,43.75603698081965,56.243963019180356
13,G32,19272,7270,12002,37.723121627231215,62.276878372768785
14,G33,16907,7240,9667,42.82249955639676,57.17750044360324
15,G34,4053,2757,1296,68.02368615840119,31.976313841598813
16,G4,9319,2209,7110,23.70426011374611,76.29573988625388
17,G40,7264,3802,3462,52.340308370044056,47.659691629955944
18,G41,15694,1872,13822,11.928125398241367,88.07187460175864
19,G42,15771,4681,11090,29.681060173736608,70.31893982626339
20,G43,8595,2255,6340,26.236183827806865,73.76381617219313
21,G44,11158,598,10560,5.3593834020433775,94.64061659795662
22,G45,7381,5382,1999,72.91694892291018,27.083051077089827
23,G46,4361,2300,2061,52.740197202476494,47.259802797523506
24,G5,7007,2835,4172,40.45954045954046,59.540459540459544
25,G51,13531,6591,6940,48.71036878279506,51.289631217204935
26,G52,13958,4154,9804,29.76071070353919,70.23928929646081
27,G53,14413,5291,9122,36.70991466037605,63.29008533962395
28,G61,114,1,113,0.8771929824561403,99.12280701754386
29,G62,1,0,1,0.0,100.0
30,G64,273,23,250,8.424908424908425,91.57509157509158
31,G69,7712,864,6848,11.20331950207469,88.79668049792531
32,G71,1351,98,1253,7.253886010362693,92.74611398963731
33,G76,608,65,543,10.69078947368421,89.30921052631578
34,G78,13,0,13,0.0,100.0
35,G81,14,3,11,21.428571428571427,78.57142857142857
